skill_dribbling,skill_curve,skill_ball_control,skill_moves,age,height_cm,weight_kg,power_strength
97,93,96,4,32,170,72,68
89,81,92,5,34,187,83,78
96,88,95,5,27,175,68,49
12,13,30,1,26,188,87,78
95,83,94,4,28,175,74,63
86,85,91,4,28,181,70,74
21,18,30,1,27,187,85,78
70,60,76,2,27,193,92,92
87,85,92,4,33,172,66,58
89,83,89,4,27,175,71,73
91,79,90,5,20,178,73,76
69,28,71,2,28,187,89,95
80,78,84,3,25,188,89,84
27,19,30,1,26,191,91,78
18,21,38,1,28,192,82,60
79,49,80,2,28,168,72,73
59,60,61,2,34,187,85,89
88,83,89,4,31,173,70,74
65,74,83,3,33,184,82,85
85,86,84,3,32,182,86,86
85,77,88,4,30,184,80,84
80,66,88,3,30,189,76,77
88,86,90,4,28,176,73,63
90,88,93,4,25,177,75,61
87,85,90,5,26,191,84,89
23,15,40,1,25,188,86,68
89,75,88,4,24,170,69,54
81,89,91,4,27,181,76,57
13,19,23,1,27,199,96,70
63,58,82,2,32,194,85,87
12,12,16,1,34,193,92,71
30,14,46,1,33,193,92,80
10,11,34,1,32,188,82,43
87,82,92,4,33,173,67,48
79,77,81,3,32,185,77,79
53,49,74,2,33,187,78,89
80,86,89,3,29,183,76,73
87,89,88,4,30,180,71,67
79,80,82,4,30,187,80,74
89,76,87,4,27,175,69,67
63,61,77,2,25,189,85,85
92,84,92,4,24,173,64,54
69,63,78,2,27,185,84,90
88,85,87,4,26,183,78,62
77,70,82,3,34,179,67,76
67,62,80,2,34,183,82,81
86,81,90,4,31,185,81,80
71,66,77,3,32,189,86,79
91,82,89,4,32,169,61,39
68,65,81,3,30,191,94,85
62,63,75,2,30,186,81,79
81,80,85,3,30,170,68,61
90,85,91,5,28,174,70,59
16,11,19,1,32,185,80,75
90,87,93,4,28,163,59,40
88,83,85,4,23,183,75,70
64,55,79,3,25,183,75,75
67,34,69,2,24,187,80,85
90,74,89,4,26,165,60,52
64,72,77,2,25,182,75,86
11,16,22,1,29,195,90,65
83,85,85,3,24,176,73,66
92,88,93,4,27,176,79,59
88,80,88,4,27,181,76,74
80,88,87,3,31,184,78,71
86,86,89,3,29,178,72,61
87,88,86,5,31,180,69,60
69,56,75,2,32,190,85,82
90,90,91,5,27,172,68,61
79,89,85,3,30,182,74,71
75,81,82,3,29,186,75,67
83,70,83,3,29,185,85,73
86,74,86,4,28,175,73,73
66,48,74,2,19,189,89,88
28,12,28,1,20,196,90,72
88,84,89,4,22,180,74,74
55,46,77,2,26,191,81,86
43,28,63,2,23,195,97,94
86,78,87,4,24,191,76,88
76,65,82,3,23,191,82,80
81,72,85,3,24,184,77,77
76,71,82,3,25,188,78,81
78,78,81,3,25,178,64,65
50,36,60,2,24,185,80,88
57,59,76,2,24,186,81,82
85,86,87,4,24,179,69,67
15,15,21,1,28,184,81,73
19,18,25,1,29,192,86,74
12,13,23,1,28,187,85,74
78,78,70,3,26,190,94,95
54,30,65,2,28,189,83,82
19,12,24,1,29,190,84,63
79,78,82,3,27,180,78,74
75,58,80,3,26,181,75,73
78,74,84,3,27,173,73,74
83,90,83,4,26,181,65,58
77,80,84,5,37,195,95,87
85,79,85,4,31,165,68,46
80,74,84,3,31,186,89,84
76,60,79,2,32,180,75,74
83,90,84,4,29,185,82,80
89,84,92,5,31,174,75,78
78,69,84,4,30,186,81,82
80,78,81,3,28,180,80,78
86,80,85,3,31,176,67,60
82,85,85,3,27,176,74,75
85,89,90,4,27,180,75,64
84,65,84,4,28,175,74,79
92,81,88,5,19,180,76,59
84,79,87,4,20,188,83,65
89,82,85,5,22,178,67,52
10,25,16,1,24,186,85,51
85,82,84,4,25,182,74,60
83,75,86,4,23,188,80,72
65,59,79,2,23,182,76,79
86,74,88,4,22,171,73,67
84,85,85,5,25,176,78,80
81,76,84,3,24,189,79,75
86,77,86,4,23,185,83,74
87,84,87,4,23,179,75,64
87,70,83,4,23,175,75,69
90,81,89,4,25,173,75,82
16,9,30,1,27,190,83,68
86,86,88,4,26,183,74,65
82,87,83,3,26,181,71,68
