skill_dribbling,skill_curve,skill_ball_control,skill_moves
97,93,96,4
89,81,92,5
96,88,95,5
12,13,30,1
95,83,94,4
86,85,91,4
21,18,30,1
70,60,76,2
87,85,92,4
89,83,89,4
91,79,90,5
69,28,71,2
80,78,84,3
27,19,30,1
18,21,38,1
79,49,80,2
59,60,61,2
88,83,89,4
65,74,83,3
85,86,84,3
85,77,88,4
80,66,88,3
88,86,90,4
90,88,93,4
87,85,90,5
23,15,40,1
89,75,88,4
81,89,91,4
13,19,23,1
63,58,82,2
12,12,16,1
30,14,46,1
10,11,34,1
87,82,92,4
79,77,81,3
53,49,74,2
80,86,89,3
87,89,88,4
79,80,82,4
89,76,87,4
63,61,77,2
92,84,92,4
69,63,78,2
88,85,87,4
77,70,82,3
67,62,80,2
86,81,90,4
71,66,77,3
91,82,89,4
68,65,81,3
62,63,75,2
81,80,85,3
90,85,91,5
16,11,19,1
90,87,93,4
88,83,85,4
64,55,79,3
67,34,69,2
90,74,89,4
64,72,77,2
11,16,22,1
83,85,85,3
92,88,93,4
88,80,88,4
80,88,87,3
86,86,89,3
87,88,86,5
69,56,75,2
90,90,91,5
79,89,85,3
75,81,82,3
83,70,83,3
86,74,86,4
66,48,74,2
28,12,28,1
88,84,89,4
55,46,77,2
43,28,63,2
86,78,87,4
76,65,82,3
81,72,85,3
76,71,82,3
78,78,81,3
50,36,60,2
57,59,76,2
85,86,87,4
15,15,21,1
19,18,25,1
12,13,23,1
78,78,70,3
54,30,65,2
19,12,24,1
79,78,82,3
75,58,80,3
78,74,84,3
83,90,83,4
77,80,84,5
85,79,85,4
80,74,84,3
76,60,79,2
83,90,84,4
89,84,92,5
78,69,84,4
80,78,81,3
86,80,85,3
82,85,85,3
85,89,90,4
84,65,84,4
92,81,88,5
84,79,87,4
89,82,85,5
10,25,16,1
85,82,84,4
83,75,86,4
65,59,79,2
86,74,88,4
84,85,85,5
81,76,84,3
86,77,86,4
87,84,87,4
87,70,83,4
90,81,89,4
16,9,30,1
86,86,88,4
82,87,83,3
12,10,19,1
66,45,71,2
90,77,88,4
58,44,62,2
81,84,85,3
12,17,15,1
15,11,18,1
84,80,85,3
58,29,60,2
77,74,79,3
84,84,89,4
59,46,71,2
15,12,25,1
76,65,85,2
85,76,85,4
82,73,85,4
76,64,79,3
76,76,83,3
64,53,70,2
69,68,77,2
82,73,85,3
84,85,88,4
80,66,84,4
79,76,78,2
82,81,83,4
92,84,91,5
81,83,83,3
85,85,88,4
88,85,88,4
90,84,90,5
81,74,84,4
57,32,64,2
85,75,85,4
65,36,70,2
85,82,86,4
76,82,82,3
81,77,83,3
76,74,81,4
87,84,86,4
82,86,84,4
55,30,64,2
77,66,82,3
18,23,16,1
86,76,81,4
86,79,82,4
69,46,76,2
85,82,83,5
69,47,80,3
79,73,84,3
84,85,83,3
83,63,84,3
85,85,86,4
63,30,73,2
85,83,87,4
78,81,83,3
87,78,88,4
14,18,40,1
88,81,87,4
77,41,80,3
14,20,23,1
90,57,87,5
78,85,82,3
83,76,82,3
76,57,80,3
78,80,81,3
88,82,88,5
50,51,71,2
78,77,84,4
10,14,24,1
68,66,78,3
86,84,85,4
12,10,32,1
88,71,83,4
82,84,84,4
81,75,85,3
26,20,28,1
25,25,23,1
11,10,23,1
63,61,70,2
59,53,71,2
79,78,84,4
12,13,40,1
74,81,81,3
67,32,71,2
84,84,85,4
60,55,70,2
20,10,23,1
83,73,84,3
83,83,85,4
77,62,82,2
80,64,83,2
66,70,79,3
83,82,86,4
